"sentence","event_type"
"The AAIB identified the problem as specific to the Rolls-Royce engine fuel-oil heat exchangers, and Rolls-Royce subsequently developed a modification to its FOHE; the European Aviation Safety Agency (EASA) mandated that all affected aircraft were to be fitted with the modification before 1 January 2011.","Investigation"
"Diefenbaker joined the British Columbia bar to take the case, and obtained Atherton's acquittal.","Investigation"
"The Aroostook War (sometimes called the Pork and Beans War) was a military and civilian-involved confrontation in 1838–1839 between the United States and the United Kingdom over the international boundary between the British colony of New Brunswick and the U.S. state of Maine.","Attack"
"Typhoon Damrey was a compact tropical cyclone, which became the strongest to affect the area north of the Yangtze River since 1949.","Disaster"
"The 2008 Greek riots started on 6 December 2008, when Alexandros Grigoropoulos (), a 15-year-old Greek student, was killed by two special officers in Exarcheia district of central Athens.","Injury"
"Group A preliminary games, as well as the medal rounds, were hosted by the Bell Centre in Montreal.","None"
"On November 28, 1942, it was the scene of the deadliest nightclub fire in history of the United States, claiming a total of 492 lives (which was 32 more than the building's authorized capacity) and injuring hundreds more.","Disaster"
"Minister of Defense José Guillermo García stated that the government had investigated the incident and determined that no massacre had taken place.","Investigation"
"Eight more were killed over the following several days.","None"
"The war was a power struggle between two former liberation movements, the communist People's Movement for the Liberation of Angola (MPLA) and the anti-communist National Union for the Total Independence of Angola (UNITA).","Attack"
"Jellyfish also stung 50 people.","Injury"
"The Concerned Citizens Tribunal Report, estimated that as many as 1,926 may have been killed.","Injury"
"On 25 December 2010, at least 47 people were killed and over 100 others injured, after a female suicide bomber detonated her explosives in a large crowd of people displaced by fighting, who were collecting food at a distribution centre of the World Food Programme in the Pakistani town of Khar, which is located within the Bajaur tribal region, of north-western Pakistan.","Attack"
"The deputies eventually ran out of ammunition and were forced to flee, most of them wounded.","Injury"
"While cruising in the Northern Bay of Biscay, the British Royal Navy frigate HMS ""Thames"", under Captain James Cotes, encountered the much larger French frigate ""Uranie"", under Captain Jean-François Tartu.","Attack"
"In the United States, Hurricane Sandy affected 24 states, including the entire eastern seaboard from Florida to Maine and west across the Appalachian Mountains to Michigan and Wisconsin, with particularly severe damage in New Jersey and New York.","Disaster"
"The protests were fueled by the austerity measures applied in May 2010, but also by the unpopularity of Băsescu-backed Boc government.","Protest"
"On top of this numerous Greek divisions were encircled and destroyed as effective fighting units meaning that the Greek army had lost its offensive capabilities and was unable to organize a controlled retreat, leading to a large number of Greek POWs.","Disaster"
"On 28 December 2013, a Sunni MP named Ahmed al-Alwani was arrested in a raid on his home in Ramadi.","Attack"
"""Stripped"" ran for 23 nights at the Lyric Theatre from November to 23 December 2008.","None"
"Due to nearby Hurricane Edouard, the depression remained disorganized as it tracked westward, though it eventually intensified into Tropical Storm Fran on August 27.","Disaster"
"The bombings were followed by the 2008 Ahmedabad bombings one day later.","Attack"
"The plane, which was from 376th Bomb Group, was believed to have been lost—with its nine-man crew—in the Mediterranean Sea while returning to its base in Libya following a bombing raid on Naples on April 4, 1943.","None"
"It was announced by Richard Branson on 30 October 2017 that V Festival would be discontinued but that a new festival would replace it.","None"
"Total fatalities have been estimated to be a range of different values from 44,000 to between 100,000 and 200,000.","Injury"
"Although damage was heaviest in Myanmar, the cyclone's effects also spread into neighboring Bangladesh, where strong winds knocked over trees and capsized two ships.","Disaster"
"However, they were not able to break into the town, lacking advanced siegecraft, and could only prevent Julian from venturing outside the walls.","Disaster"
"Accelerating toward the northeast, Otto strengthened into a Category 1 hurricane on the Saffir–Simpson scale on October 8, attaining peak winds of 85 mph (140 km/h).","Disaster"
"Many different groups fought to shape the course of the Revolution, and all sections of society were ultimately to be in some way changed by it.","Attack"
"Military operations began in the area of Montauban in late September 1914 during the Race to the Sea, when the II Bavarian Corps and later the XIV Reserve Corps of the German 6th Army, attacked westwards down the Somme valley, to reach Albert, Amiens and the sea.","None"
"The tourists bowled out France for 26 to win the match by 158 runs, a significant margin, but with only five minutes of the match remaining.","None"
"The raids were described by Human Rights Watch as ""one of the world's largest killings of demonstrators in a single day in recent history"".","Attack"
"His location becoming known, a small force was sent after him and the sultan was killed in action in November 1916.","Injury"
"Landslides, rock falls and avalanches caused major damage to the Hindustan-Tibet Road.","Disaster"
"He was, however, widely criticised in the House of Commons, whose July 1920 committee of investigation censured him.","Investigation"
"Despite the issuance of a hurricane warning just eight hours prior to landfall, Jerry caused only three fatalities in Texas, possibly due to the storm's small size; a car fell over the Galveston Seawall, killing its three occupants.","Injury"
"The awards were given out in Zürich on 13 January 2014.","None"
"Among the soldiers are 32 recorded injuries that day, with no deaths.","Injury"
"""In fact, the whole band did, especially the fact that it had these huge inflatable testicles… But I was acting out a character and the audience were getting off on it.","Protest"
"An important moment was the launch of the campaign Sustainable Fish that aims at improving the position of sustainable fish in restaurants.","None"
"The snowstorm was described as the worst blizzard after 1888.","Disaster"
"The raid was more costly to the French than previous frontier raids like that in 1704 on Deerfield, Massachusetts because the province had been warned of the raiders' advance.","Attack"
"Samarra was the site of the bombing of the revered Al-Askari Shiite Shrine on 22 February 2006, that set off a wave of sectarian killing that claimed almost 500 lives.","Attack"
"The Ceremonials Tour was the second concert tour by English indie rock band Florence and the Machine.","None"
"As the system peaked, it performed a small clockwise cyclonic loop within the vicinity of Tikopia island, as a result of the steering flow over the cyclone becoming weak and variable.","Disaster"
"A paper published by the Zambia Meteorological Department asserted that Bonita was the first storm confirmed to have tracked across the African continent from the South-West Indian Ocean to the Southern Atlantic Ocean.","Investigation"
"In response a group of Irish conspirators launched the Irish Rebellion of 1641, which quickly degenerated into a series of massacres of English and Scottish Protestant settlers in Ireland.","Injury"
"On March 16, 2004, an explosion destroyed a corner section of a nine-story Soviet-era apartment building in Arkhangelsk, Russia.","Disaster"
"Karen nationalists have been fighting for an independent state known as Kawthoolei since 1949.","Attack"
"The rest of the accused went on trial in a fast-track court; the prosecution finished presenting its evidence on 8 July 2013.","Investigation"
"The massacre was part of the ""Black War"", the period of violent conflict between British colonists and Aboriginal Australians in Tasmania from the mid-1820s to 1832.","None"
"In 2015, All WCW pay-per-views were made available on the WWE Network.","None"
"A triple homicide was committed in Waltham, Massachusetts in the United States, on the evening of September 11, 2011, the 10th anniversary of the September 11 attacks.","Injury"
"Over the following day, Dolores developed an eye-like feature and attained hurricane status.","Disaster"
"Unusually, the storm hit Florida less than 24 hours before another major hurricane bearing winds struck South Texas; never have two major cyclones hit the United States in such close succession.","Attack"
"War-related famine and disease are thought to have killed up to a third of Munster's pre-war population.","Injury"
"At least 1,023 deaths were attributed to Hurricane Janet, as well as $65.8 million in damages.","Disaster"
"Two activists in the Iraqi Zionist underground were found guilty by an Iraqi court for a number of the bombings, and were sentenced to death.","Injury"
"The earthquake occurred on the Poulter Fault, which was not identified and mapped until 2001.","Investigation"
"Only a few months earlier, the British South Africa Company's Administrator General for Matabeleland, Leander Starr Jameson, had sent most of his troops and armaments to fight the Transvaal Republic in the ill-fated Jameson Raid.","Attack"
"Dean continued northward before making landfall in southeastern Newfoundland.","Disaster"
"The selection of Belarus to host this competition was the subject of much debate, with some politicians in both Europe and the United States calling for the IIHF to move the tournament to another country.","Protest"
"Additionally, all trains operating on the high-speed Northeast Corridor are now equipped with automatic cab signalling with an automatic train stop feature.","None"
"Over the years, clashes between rival ethnic militias have resulted in a large number of casualties and displaced hundreds of thousands of people.","Attack"
"Early investigations found that the train had gone into the curve where it derailed at almost three times the posted speed limit.","Investigation"
"The Demonstration was the last phase of the unsuccessful attempt to establish a constitutional monarchy in France.","Protest"
"A powerful, early season and Cape Verde tropical cyclone that caused significant damage across the Caribbean Sea to Mexico, the storm formed on July 10, 2005, in the central Atlantic Ocean before passing through the Windward Islands on July 14.","Disaster"
"At least 406 homes on the island were flooded, five of which suffered moderate to severe damage.","Disaster"
"Political analysts cited the standoff as a major factor in the continuing downfall of Carter's presidency and his landslide loss in the 1980 presidential election; the hostages were formally released into United States custody the day after the signing of the Algiers Accords, just minutes after American President Ronald Reagan was sworn into office.","Attack"
"Seventeen people were killed on 10 July, and a further eleven were killed or fatally wounded over the following week.","Injury"
"During a failed attempt to escape in May 2011, Batawi and ten other senior al-Qaeda militants were killed by an Iraqi SWAT team.","Injury"
"The flooding began at the end of July triggered by the landfall of Tropical Storm Nock-ten.","Disaster"
"Severe damage in the Gracias a Dios Department left hundreds of people homeless.","Disaster"
"The first major demonstration in Chicago was held on March 10, 2006, and was estimated to have about 100,000 participants.","Protest"
"The city was an important railroad junction and Hengyang Airport was used by USAAC General Claire Lee Chennault's Flying Tigers which were engaged in bombing operations of the Japanese homeland.","Attack"
"During that period, the Khmer Rouge's Democratic Kampuchea continued to be recognised by the United Nations as the legitimate government of Kampuchea, as several armed resistance groups were formed to fight the Vietnamese occupation.","Attack"
"Monis was described by Abbott as having indicated a ""political motivation,"" but the eventual assessment was that the gunman was ""a very unusual casea rare mix of extremism, mental health problems and plain criminality.""","Investigation"
"It was proportionally the most costly major Allied air raid of the war and its date was later referred to as ""Black Sunday"".","Attack"
"Giap then began harassing French positions along RC4 in northern Vietnam with mines and ambushes.","Attack"
"The fifteenth named storm and twelfth hurricane of the active season, it developed from a tropical disturbance about 185 miles (300 km) south of Acapulco on September 17.","Disaster"
"Members of other ethnicities were also killed, such as Serbs deemed disloyal by the local authorities.","Injury"
"There, the storm affected up to 150,000 people, flooded wide tracts of croplands, and killed 25 people.","Disaster"
"In South Korea, eight people were killed and damage figures equated to US$71 million.","Injury"
"In consequence, troops were hastily committed to battle on repeated occasions, increasing Allied losses and ultimately lengthening the battle.","Attack"
"Alwani was a prominent supporter of the anti-government protests.","Protest"
"Members of Vilayat Dagestan, part of Umarov's Caucasus Emirate took credit for the attack on 19 January.","Attack"
"It also stated that the chemical agents used in the Khan al-Assal chemical attack earlier in 2013 ""bore the same unique hallmarks as those used in Al-Ghouta"".","Attack"
"Nineteen were killed in Scotland.","Injury"
"Later, the system became extratropical and passed over Lake Huron, killing three people in Toronto.","Injury"
"140 Legionnaires had been taken prisoner, the remainder being killed or missing in action.","Injury"
"During most of the storm's existence, Amy featured many subtropical characteristics but was not classified as such due to the proximity to land.","Investigation"
"The Aragonese were less numerous though much better trained, and managed to divide the Arborean army into two parts which were then destroyed separately.","Disaster"
"The men—who became known as the Birmingham Six—maintained their innocence and insisted police had coerced them into signing false confessions through severe physical and psychological abuse.","Injury"
"The hurricane was also upgraded into a hurricane based solely on satellite photography, the second time this occurred.","Disaster"
"The next day, 2 damaged Ottoman ships, the ""Kapitana"" (Vice Admiral's ship) and ""Melike Bahri"" were seen close by, and the Russians attacked.","Attack"
"After 15 years in nearby San Jose, the conference moved to San Francisco, where it eventually became Apple's primary media event of the year and regularly sold out.","None"
"But Union Colonel Theodore H. Barrett, newly assigned to command an all-black unit, and never having been in combat, ordered an attack on a Confederate camp near Fort Brown for unknown reasons.","None"
"These hamlets were marked on the U.S. Army topographic maps as Mỹ Lai and Mỹ Khê.","None"
"Widespread crop damage was observed, with rice, cotton, and pecan harvests suffering the worst.","Disaster"
"Unable to reach political accommodation on disputed territory along the 3,225 kilometre- (2,000 mile-) long Himalayan border, the Chinese launched simultaneous offensives in Ladakh and across the McMahon Line on 20 October 1962.","Attack"
"On September 12, explosive intensification took place, and Igor reached Category 4 status on the Saffir–Simpson Hurricane Wind Scale.","Attack"
"Jackson was joined by long-time collaborator Slash during the two concerts.","None"
"Other operations occurred against pockets of the Iraqi Army, including the capture and occupation of Kirkuk on 10 April, and the attack on and capture of Tikrit on 15 April.","Attack"
"Flooding extended west; railway tracks were destroyed in Palm Desert and high winds and severe flooding were recorded in Arizona.","Disaster"
"ISIL's claim of responsibility was not verified, and U.S. officials stated that the attack appears to have been inspired, but not directed, by ISIL.","Investigation"
"The attack was the largest single loss of life since the signing of the Minsk Protocol in September 2014, which attempted to halt the ongoing War in Donbass.","Attack"
"Hezbollah has also been very active to prevent rebel penetration from Syria to Lebanon, being one of the most active forces in the Syrian Civil War spillover in Lebanon.","None"
"The resolution recognized the victims of the explosion and officially exonerated the 50 men court-martialed by the Navy.","Investigation"
"The reputation of the ""ACL"" television show helped contribute to the success of the first festival.","None"
"Final property damage in the United States was $7.5 billion, plus an additional $270 million in the Dominican Republic and $169.5 million in Puerto Rico.","Disaster"
"The war ended with the Kumanovo Treaty, with Yugoslav and Serb forces agreeing to withdraw from Kosovo to make way for an international presence.","Attack"
"It was one of the biggest offensives of World War II, stretching over a 1,000 km (620 mi) front and involving almost 3,500,000 troops from both sides.","Attack"
"The following year, Caesar defeated the last of the Optimates in the Battle of Munda and became ""Dictator perpetuo"" (Dictator in perpetuity or Dictator for life) of Rome.","Attack"
"Croatia indicted 17 persons in connection with the killings, although only two were available to the authorities.","Investigation"
"On the afternoon of 2 August 2005, while landing at Pearson Airport, the Airbus A340-313E operating the route crashed into nearby Etobicoke Creek, approximately beyond the end of the runway.","Disaster"
"British losses were confined to a single man wounded by an accident aboard ""Crescent"".","Injury"
"Israeli Defense Minister Ehud Barak warned that the incident should be a ""wake up call"" for Egypt in dealing with terrorists in the Sinai Peninsula, while Egyptian President Mohamed Morsi vowed to retake the Sinai Peninsula and declared three days of mourning.","Attack"
"At the time, it was the strongest hurricane in the Atlantic since Igor in 2010.","Disaster"
"Cho had previously been diagnosed with a severe anxiety disorder.","Investigation"
"In protest of Morsi's overthrow, his supporters staged large demonstrations in the Nasr City district of Cairo, and in Alexandria, Luxor, Damanhour, and Suez.","Protest"
"Metacom fled to Mount Hope, where he was killed by the militia.","Injury"
"With most of its army in Europe fighting Napoleon, Britain adopted a defensive strategy, with offensive operations initially limited to the border and the western frontier.","Attack"
"After the first leg, it became the highest-grossing tour by a solo artist, earning US$282 million ($ in dollars), breaking the previous record Madonna herself held with her Confessions Tour.","Disaster"
"There were no reports of civilians or Coalition Forces injured or killed as a result of the operation.","Injury"
"Meanwhile, Allied countries continued to lay claim to portions of the quickly crumbling Ottoman Empire.","Disaster"
"The American Indian Wars (also known as the Indian Wars or the First Nations Wars; ) is the collective name for the various armed conflicts that were fought by European governments and colonists, and later by the United States and Canadian governments and American and Canadian settlers, against various American Indian and First Nation tribes.","None"
"The enquiry had little comment to make as this seemed to be a freak accident but advised that, in future, the brakes of all shunted wagons should be immediately pinned down.","Disaster"
"At times, tensions existed between the various Europeans in the Cape region, tensions between Empire administration and colonial governments, and tensions within the Xhosa Kingdom e.g.","None"
"The matter was investigated by the House Government Reform and Oversight Committee, the Senate Judiciary Committee, and the Whitewater Independent Counsel.","Investigation"
"As of October 2012, Indian Mujahideen, a terrorist group based in India, is suspected to be behind the attacks.","Attack"
"The disaster shocked the world and caused widespread outrage over the lack of lifeboats, lax regulations, and the unequal treatment of the three passenger classes during the evacuation.","Disaster"
"Bengali Submariners who had defected from Pakistani submarine PNS Mangro (S133), then based in Toulon in France, led the attacks, and this is also known as Operation Jackpot.","Attack"
"In the following weeks, the suffered from the onset of the Russian Winter.","Injury"
"It is one of many famines to have hit the region in recent times.","Disaster"
"The stage was filled with floral arrangements, with photographs and film of Jackson and the Jackson 5 projected onto screens at the back.","None"
"The tour's 2012 itinerary was confirmed in October 2011 to include an Australian leg from late February to early March as part of the 5-day 2012 Soundwave music festival.","Investigation"
"The deaths mainly occurred from people suffering from internal hemorrhaging or asphyxiation from the crushing against the steel shutters that led down to the street.","Attack"
"Four days later, however, the new figures of the fugitives went down to 29.","None"
"In 1259-1260, the Mongols sieged and captured Sandomierz again, razing the city and massacring its residents.","Disaster"
"The sack of Sandomierz during the first Mongol invasion of Poland took place on 13 February 1241.","Attack"
"Not until the demise of the Comnenian dynasty would the Turks capture a port and it was Umur of Aydın in c. 14th century that constituted the first Turkish threat to Christian shipping in the Aegean since the 11th century.","Disaster"
"During the speech, Obama linked the Seneca Falls Convention, Selma to Montgomery marches and Stonewall riots.","None"
"In August 2009, he was released by the Scottish Government on compassionate grounds after being diagnosed with prostate cancer.","Investigation"
"After almost dissipating on August 10, Irene peaked as a Category 2 hurricane on August 16.","Disaster"
"As a result of the protests, in December 2012, a judicial committee was set up to study and take public suggestions for the best ways to amend laws to provide quicker investigation and prosecution of sex offenders.","Investigation"
"The December 1992 nor'easter produced record high tides and snowfall across the northeastern United States.","None"
"The storm affected the town of Norfolk, where it became the most damaging storm since 1879.","Disaster"
"They defeated Trinidad and Tobago in the semi-finals 1–0 after Craig Forrest saved a first-half penalty.","None"
"Weakening slightly more, it passed over Puerto Rico as a strong Category 3 hurricane.","Disaster"
"Of the 240 people killed during the storm, 135 were workers on the Florida East Coast Railway.","Disaster"
"In the crash, a United States Air Force North American F-100 Super Sabre on a training or test flight from nearby Kadena Air Base suffered an engine fire.","Disaster"
"Offshore of Mississippi, rough seas inundated Horn Island and split Ship Island.","Disaster"
"About six hours later, the system made landfall in Puerto Rico; it remains the only tropical cyclone on record to strike the island at Category 5 intensity, as of 2019.","Attack"
"It spent two consecutive weeks at number one on the Finnish albums chart and was certified platinum for Finnish sales in excess of 30,000 copies.","Investigation"
"The International Criminal Tribunal for the former Yugoslavia (ICTY) was established by the UN to prosecute these crimes.","Investigation"
"In Scotland itself, from 1644–45 a Scottish civil war was fought between Scottish Royalists—supporters of Charles I under James Graham, 1st Marquis of Montrose—and the Covenanters, who had controlled Scotland since 1639 and allied with the English Parliament.","Attack"
"Jewish homes, hospitals and schools were ransacked as the attackers demolished buildings with sledgehammers.","Disaster"
"Although the submersible was eventually recovered by the rescue vessel ""A.B.","None"
"Originating from a disturbance within a monsoon trough in early September, Sarah was first classified as a tropical depression near the Mariana Islands on September 5.","Investigation"
"Gunmen from two of Tehran's Iraqi-based proxies, Kata'ib Hezbollah and Asaib Ahl al-Haq, then carried out the actual attack.""","Attack"
"Total of 28 dates were announced, which would have made it Alizée's second biggest tour after En Concert.","None"
"During the operation, two US ships struck mines and sank while the remaining vessels and aircraft silenced the enemy guns.","Attack"
"Of 127,000 Japanese Americans living in the continental United States at the time of the Pearl Harbor attack, 112,000 resided on the West Coast.","Attack"
"This was later accepted and the Socio Economic and Caste Census 2011 was conducted whose first findings were revealed on 3 July 2015 by Union Finance Minister Arun Jaitley.","None"
"The Warsaw Uprising of 1794 or Warsaw Insurrection () was an armed insurrection by the people of Warsaw early in the Kościuszko Uprising.","Attack"
"The 1989 attack on La Tablada barracks was an assault on the military barracks located in La Tablada, in the province of Buenos Aires, Argentina, by 40 members of ""Movimiento Todos por la Patria"" (MTP), commanded by former ERP leader Enrique Gorriarán Merlo.","Attack"
"At least 5 people die and another 14 were injured after a car exploded in Nahrawan.","Injury"
"Okinawa Governor Hirokazu Nakaima spoke at the ceremony, saying, ""The Okinawa people of the time were deeply saddened by the accident in which the lives of children having dreams and hopes for the future were lost.""","Injury"
"In line with this, he called for an investigation on March 2009 to determine if the event violates that law.","Investigation"
"Both people aboard the aircraft were killed in the accident: New York Yankees pitcher Cory Lidle and his certified flight instructor Tyler Stanger.","Injury"
"This was contested by the train driver, despite the confirmations of the safety and judicial investigations.","Protest"
"Overall structural damage from Cindy was minimal.","Disaster"
"Prime Minister Sándor Wekerle resigned and former Prime Minister István Tisza was murdered.","Injury"
"The Penang Bridge International Marathon or Penang Bridge Marathon is an annual marathon event held in Penang Bridge, Penang, Malaysia.","None"
"The company seized Pakistani soldiers fought against a brigade of Indian soldiers and Mukti Bahini.","Attack"
"The medical examiner mentioned duct tape as one reason she ruled the death a homicide, but officially listed it as ""death by undetermined means"".","Injury"
"The ""male"" then advanced with the support of several Whippet light tanks which had arrived, until disabled by artillery fire and abandoned by the crew.","Disaster"
"All blasts occurred between 7:27 pm and 8:15 pm.","Attack"
"After the murder of some of their fellow prisoners by guards, Kengir inmates launched a rebellion and proceeded to seize the entire camp compound, holding it for weeks and creating a period of freedom for themselves unique in the history of the Gulag.","Injury"
"Szilvásy's letter affirmed that the report remains top secret, for reasons not connected to the crash.","Protest"
"A return to Australasia took place throughout December 2010 and Muse are confirmed as openers for U2's 360° Tour dates in South America in spring 2011 and also played further European shows in the summer of 2011.","Investigation"
"According to the United States government, the crew of USS ""Vincennes"" had incorrectly identified the Airbus as an attacking F-14 Tomcat, a U.S.-made jet fighter that had been part of the Iranian Air Force inventory since the 1970s.","Attack"
"The 1940 Nova Scotia hurricane swept through areas of Atlantic Canada in mid-September 1940.","Disaster"
"The Vikings overcame the Saxons after losing many men, killing Byrhtnoth.","Injury"
"Infantry patrols probed forwards and the British and French forces met at several points in and east of the village, in the early hours of 26 September.","Investigation"
"Uprisings followed elsewhere in the country.","Attack"
"The IAGS has classified the massacres as a genocide.","Investigation"
"Eventually, the Marines ceased their pursuit when their commander was killed and retreated back to their ship due to fatigue and heat exhaustion, with the Formosans dispersing and retreating back into the jungle.","Injury"
"No one was injured.","Injury"
"Chesney co-headlined the stadium shows with Zac Brown Band.","None"
"Alfred Smuth has called the battle ""the greatest single battle in Anglo-Saxon history before Hastings"".","Attack"
"The reactor explosion killed two of the reactor operating staff.","Injury"
"Commissioner Anthony W. Batts reported that, contrary to department policy, the officers did not secure him inside the van while driving to the police station; this policy had been put into effect six days prior to Gray's arrest, following review of other transport-related injuries sustained during police custody in the city, and elsewhere in the country during the preceding years.","Injury"
"While paralleling the Hawaiian Islands on August 16, Hiki strengthened into a hurricane.","Disaster"
"The 2010 Gascoyne River flood was regarded as the most severe flood to take place along the Gascoyne River in Western Australia on record.","Disaster"
"The attacks were motivated by xenophobia.","Attack"
"Secret Service agents wounded Collazo.","Injury"
"Months after the hurricane season, when the National Hurricane Center was performing its annual review of the season and its named storms, forecasters Jack Beven and Eric Blake identified this previously unnoticed subtropical storm.","Disaster"
"Since both the Paddington and Southall crashes had reopened public debate on ATP, a separate joint inquiry considering the issue in the light of both crashes was also held in 2000; it confirmed the rejection of ATP and the mandatory adoption of a cheaper and less effective system, but noted a mismatch between public opinion and cost-benefit analysis.","Investigation"
"The statement was issued in connection with the death of Rustam Asildarov, who was allegedly involved in the Makhachkala attack.","Injury"
"In addition to the natural gains of land, and wealth and manpower received from these victories, the Byzantines also inflicted a psychological defeat on their opponents by recapturing territory deemed holy and important to Christendom, in particular the city of Antioch—allowing Byzantium to hold two of Christendoms' five most important Patriarchs, those making up the Pentarchy.","Injury"
"Hurricane Babe was the second named storm and the first to impact the United States during the below-average 1977 Atlantic hurricane season.","Disaster"
"After turning northeastward, the system began an extratropical transition, which it completed shortly after striking southern Newfoundland.","Attack"
"Historian Carol Berkin argues that the episode in the long run strengthened American nationalism because the people appreciated how well Washington handled the rebels without resorting to tyranny.","Protest"
"At least 100 people were injured.","Injury"
"The crime remains unsolved.","None"
"The Spanish conquest of Petén was the last stage of the conquest of Guatemala, a prolonged conflict during the Spanish colonisation of the Americas.","Attack"
"The assassination of Mahmoud al-Mabhouh (, ; 14 February 1961 – 19 January 2010) was an assassination that took place on 19 January 2010, in a hotel room in Dubai.","Injury"
"The attack is controversial and the motives of the British are debated.","Attack"
"Dianmu caused four fatalities and considerable damage across southern and eastern Japan.","Disaster"
"Despite extensive investigations, the perpetrator was never identified, and various theories on the killer's identity have been presented over the years.","Investigation"
"The tenth tropical cyclone, fourth named storm, and second hurricane of the otherwise inactive 1977 Pacific hurricane season, it developed on August 13.","Disaster"
"""Basque conflict"" is preferred by Basque nationalist groups, including those opposed to ETA violence.","None"
"Two of the 123 people on board suffered minor injuries.","Injury"
"This caused Alexander to turn south, advancing through southern Punjab and Sindh, along the way conquering more tribes along the lower Indus River, before finally turning westward.","None"
"The 2014 Israel–Gaza conflict also known as Operation Protective Edge (, ""Miv'tza Tzuk Eitan"", lit.","Attack"
"Five Israeli commandos were wounded and one, unit commander Lt. Col. Yonatan Netanyahu, was killed.","Injury"
"Over 200 people were wounded.","Injury"
"The World Health Organization (WHO) has identified H7N9 as ""...an unusually dangerous virus for humans.""","Investigation"
"By 1910, the Kingdom of Portugal was in deep crisis: British pressure on Portugal's colonies, the royal family's expenses, the assassination of the King and his heir in 1908, changing religious and social views, instability of the two political parties (Progressive and Regenerador), the dictatorship of João Franco, the independence movement of its most valuable colony, Brazil, and the regime's apparent inability to adapt to modern times all led to widespread resentment against the Monarchy.","Injury"
"Locally heavy rainfall and rough seas led to minor damage while strong winds lead to extensive damage on the north side of the island.","Disaster"
"The attack took place in the Adezai locality of Peshawar; 37 people were killed and at least 45 were wounded.","Injury"
"Originating from a disturbance in the Intertropical Convergence Zone in late-August, Uleki was identified as a tropical depression well to the southeast of Hawaii on August 28.","Investigation"
"Manou injured 85 and killed 89 people throughout Madagascar.","Injury"
"Bejisa killed one person on the island due to head trauma, and there were 16 injuries.","Injury"
"The elderly German Emperor Frederick Barbarossa also responded to the call to arms, leading a massive army across Anatolia, but he drowned in a river in Asia Minor on 10 June 1190 before reaching the Holy Land.","Injury"
"The first area affected by Diane was North Carolina, which suffered coastal flooding but little wind and rain damage.","Disaster"
"On August 5, 2012, a mass shooting took place at the gurdwara (Sikh temple) in Oak Creek, Wisconsin, United States where 40-year-old Wade Michael Page fatally shot six people and wounded four others.","Injury"
"After a trial that lasted for three days, the jury deliberated for 8 hours before returning a not guilty verdict, acquitting Hendrix of both charges.","Investigation"
"It weakened to a Category 2 hurricane late on August 31, and remained at that intensity until landfall on the morning of September 1 near Cocodrie, Louisiana.","None"
"Specifically, U.S. officials say that members of Iran's Islamic Revolutionary Guard Corps ""helped plan and direct the assault on the camp...","Attack"
"Flooding affected roads and low-lying areas along the Potomac River.","None"
"Additionally, 66 trailers were destroyed and 88 were inflicted with major damage.","Disaster"
"It was fought on the extreme southern flank of the Spremberg-Torgau Offensive, seeing days of pitched street fighting between forces of the Communist Polish Second Army under elements of the Soviet 52nd Army and 5th Guards Army on one side and elements of German Army Group Center in the form of the remnants of the 4th Panzer and 17th armies on the other.","None"
"As a tropical cyclone, Bertha's impact was relatively minor.","None"
"The team later said they could not confirm claims that multiple soldiers took part in the killings.","Investigation"
"According to various analysts, the protests are the most challenging events for Erdoğan's ten-year term and the most significant nationwide disquiet in decades.","Protest"
"At least 50 people were killed and more than 100 others injured.","None"
"Allied losses numbered 3,129 British and 2,038 Portuguese dead or wounded.","Injury"
"After the attack at Mers-el-Kébir and the Battle of Dakar, French aircraft raided Gibraltar in retaliation and Marshal Philippe Pétain, who had become the prime minister of France on 16 June, severed diplomatic relations with the United Kingdom.","Attack"
"Hurricane Easy was one of two major hurricanes to strike Florida during the year; the other was Hurricane King which affected Miami.","Attack"
"After the partnership between Ken West and Vivian Lees was dissolved in 2011, Lees sold his stake in the event to Australian DJ and music promoter AJ Maddah, who was the co-promoter with American festival promoter C3 Presents from 2013 to 2014.","Disaster"
"The Israeli airstrikes and ground bombardment, the Palestinian rocket attacks and the ground fighting resulted in the death of thousands of people, the vast majority of them Gazans.","Attack"
"After 25 July, Turkey stopped its airstrikes on ISIL but continued with those against the PKK.","Attack"
"At Sidi Rezegh, on 23 November, the 5th South African Brigade was destroyed by German tanks and artillery after inflicting many German tank casualties.","Disaster"
"Tropical Storm Hermine caused significant flooding in Mexico during September 1980.","Disaster"
"Wilma made several landfalls, with the most destructive effects felt in the Yucatán Peninsula of Mexico, Cuba, and the U.S. state of Florida.","None"
"Cindy brought a total of eleven tornadoes with it, of which two caused minor damage in North Carolina.","Disaster"
"Desiring a quick surrender, the Germans began a terror bombardment to destroy the morale of the civilian population on 23 August.","Disaster"
"A train en route to Cairo from Sohag derailed, leaving at least 19 people dead and 120 injured.","Injury"
"The contemporary investigations in both the United Kingdom and the United States into the precise causes of the ship's loss were obstructed by the needs of wartime secrecy and a propaganda campaign to ensure all blame fell upon Germany.","Investigation"
"It was the Chiefs' first victory in the competition from their second final.","None"
"Linjeflyg Flight 618 was a crash of a Vickers 838 Viscount during approach to Stockholm Bromma Airport at 09:05 on 15 January 1977.","Disaster"
"However, several body parts were found in the ruins, and subsequent DNA analyses determined that the young girl and her grandfather were both among those killed in the explosion.","Injury"
